Geografi,2018,2019,2020,2021,2022,2023
Bydel Gamle Oslo,3870000,4057000,4420000,4768000,5096000,5037000
Bydel Grünerløkka,3900000,4085000,4320000,4689000,5006000,5050000
Bydel Sagene,3983000,4154000,4303000,4825000,4950000,5176000
Bydel St. Hanshaugen,4666000,4691000,5087000,5565000,5813000,5750000
Bydel Frogner,5450000,5802000,6123000,6500000,6750000,6682000
Bydel Ullern,6410000,6800000,6867000,7466000,7984000,8149000
Bydel Vestre Aker,6535000,7000000,7182000,7610000,8242000,8500000
Bydel Nordre Aker,5240000,5229000,5324000,5935000,6315000,6644000
Bydel Bjerke,3670000,3770000,3915000,4356000,4626000,4727000
Bydel Grorud,2894000,3021000,3168000,3530000,3765000,3749000
Bydel Stovner,3263000,3310000,3482000,3671000,4132000,4064000
Bydel Alna,3199000,3275000,3450000,3819000,4019000,4045000
Bydel Østensjø,3474000,3630000,3815000,4138000,4429000,4436000
Bydel Nordstrand,4027000,4300000,4567000,4619000,4948000,5277000
Bydel Søndre Nordstrand,3413000,3415000,3561000,3965000,4155000,4224000
Oslo i alt,3943000,4149000,4360000,4752000,5046000,5101000
